model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
NW_PARp,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp,median,1263.4572500000004,2191.703499999996,2327.0075000000024,2975.358000000004,2992.367,2965.221999999998,3305.304,4035.2975000000006,4217.1705,4037.0805,4187.959999999997,4135.649999999998,4066.1164999999983,4146.914999999997,4321.681499999999,4247.051499999987,4206.348,4325.370500000001,4189.383249999997,4632.994999999999,4970.012749999994,5371.565499999997,5143.602749999993,4789.244999999999
NW_PARp,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_PARp-A,median,1370.1969999999992,1922.3679999999986,2419.5657499999998,2636.6264999999985,2760.550999999996,3110.653999999995,3152.334500000001,4092.9750000000004,3893.3485,3986.368000000006,4028.078750000004,4019.199999999997,4039.981749999999,4150.338000000003,4614.6614999999965,4338.2575,4466.835000000001,4790.075000000001,4013.290750000002,4614.334499999997,4728.077749999997,5147.775999999998,4861.354500000001,4660.673999999995
NW_PARp-A,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_20,median,2613.0584208872115,2813.2331263074993,3239.1664280095756,3524.9698103108312,3664.380986088163,3986.3977348600165,3672.7379718838056,4323.166851389713,3570.645960828884,3980.027532705135,4066.1036387885233,3408.292660862953,2892.312275647293,3360.4425997397047,2886.876777981206,3278.7913462390025,3479.116452084252,3533.365366746828,3876.1078039205295,4312.8827206082715,4489.130400942393,4052.36389299266,4081.3424863557757,4271.796872078099
PARp-A_J_20,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_30,median,1636.9154958947456,2659.802811791207,2860.4395768336817,4479.11259429944,4860.762614299907,4591.611457383631,4742.874554211421,5333.960793939419,5219.083254696676,5222.649379325496,5610.095142402624,5701.35783637553,5714.862118128067,5394.574013659632,5405.357614659199,5495.293321324658,5526.31570105601,5768.933418322551,5907.854156210622,5962.065117551829,5974.923766532258,5929.196413079677,5736.397301594083,5543.924777533681
PARp-A_J_30,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_40,median,1966.1505147366333,3288.9590683564675,3784.7796967427494,4716.87054372987,4419.078437002649,5355.186235426598,5391.358641052039,5653.5459804050915,5601.147873997021,5816.44532940106,6083.694071742084,6400.917442681148,6380.713827137173,6147.395822477381,6040.238597054749,5998.292404651387,6236.411584874681,6395.848696000241,6433.582578571608,6599.135976294216,6459.736003726786,6871.483284089358,6886.2752761363445,6257.686945217421
PARp-A_J_40,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_50,median,1128.7496857671158,1869.2090413069782,2289.7204623147118,3038.3040841172624,3202.977857381633,3639.519838726823,4048.8106398407635,4239.566159302562,4571.858507158808,4994.151695030367,4793.534521717756,4621.024171052508,4863.221993893976,4699.786284762624,4826.297893835741,4878.653438993213,5134.126731726117,5050.167118051177,5056.294922936006,5041.090988249813,5409.707057655774,5642.339329436283,5643.68111226333,5474.049827599141
PARp-A_J_50,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_60,median,872.1723271494702,1975.182386417313,2330.1958894603213,2929.3754951556766,3207.084510701572,3635.5039217143785,3656.531619815408,3759.088375960302,4000.890159078348,4324.992540393665,3887.845528594904,4022.1950292669026,4340.876630454459,4368.897846980766,4500.471924110212,4765.942116636048,4899.7971942967015,4780.439946309547,4902.935954292569,4983.766143805882,4562.294928046536,4950.635277805151,4890.5703112624,4863.164220865772
PARp-A_J_60,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_70,median,1024.6383605942929,1653.0350839598468,1999.9481037464975,2537.0963181046573,2673.6440717012592,2940.174529128888,3495.1679977821823,3623.5274380536393,3615.220210736925,3916.444867162376,3403.22394830956,3810.7085550355914,3626.8551316932408,3469.5855140490457,3355.837461758805,3966.448722092591,3791.984842717902,4094.4831336797397,4071.2715031994085,4411.423530323205,4540.105899890577,4761.201434519273,4422.561122383544,4219.291384550928
PARp-A_J_70,IC_UB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARp-A_J_80,IC_LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
